"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"9762",841.604950827302,976.4275,"MGDG 36:2","MGDG","IP_DAG","Orbi_1231",803993.988250469,"+NP","negative"
"9763",931.646077707808,986.794,"PDPT 41:2","PDPT","IP_DAG","Orbi_1231",905427.186076876,"+NP","negative"
"9764",965.692098144884,970.027,"MGDG 44:4 +1O","MGDG","IP_DAG","Orbi_1231",79936.7091894074,"+NP","negative"
"9765",301.21689260239,439.3715,"FFA 20:5","FFA","FFA","Orbi_1231",84796312.3776316,"+NP","negative"
"9766",239.201482319023,442.407,"FFA 15:1","FFA","FFA","Orbi_1231",5657211.0463149,"+NP","negative"
"9767",247.170270610491,324.344,"FFA 16:4","FFA","FFA","Orbi_1231",128752809.433547,"+NP","negative"
"9768",297.243581371029,365.6205,"FFA 18:1 +1O","FFA","FFA","Orbi_1231",1550041.6948616,"+NP","negative"
"9769",321.243656283607,371.164,"FFA 20:3 +1O","FFA","FFA","Orbi_1231",100702.106145649,"+NP","negative"
"9770",325.202149848998,338.6605,"FFA 18:3 +3O","FFA","FFA","Orbi_1231",1624681.32059682,"+NP","negative"
"9771",377.233579084672,346.608,"FFA 22:5 +3O","FFA","FFA","Orbi_1231",121704.366684795,"+NP","negative"
"9772",383.244242807775,318.077,"MAG 18:3 +2O","MAG","IP_MAG","Orbi_1231",391174.449567767,"+NP","negative"
"9773",1037.78789738928,1065.57,"MGDG 49:3 +1O","MGDG","IP_DAG","Orbi_1231",488494.353072673,"+NP","negative"
"9774",747.609133586678,1105.34,"PQ9","PQ9","plastoquinone_9","Orbi_1231",491729.109726916,"+NP","negative"
"9775",969.72423963233,1077.26,"MGDG 44:2 +1O","MGDG","IP_DAG","Orbi_1231",630157.575475434,"+NP","negative"
"9776",983.732378973638,1058.33,"PG 50:3 +1O","PG","IP_DAG","Orbi_1231",1637967.34157098,"+NP","negative"
"9777",995.740232062101,1075.77,"MGDG 46:3 +1O","MGDG","IP_DAG","Orbi_1231",826354.292793616,"+NP","negative"
"9778",997.755904030547,1103.815,"MGDG 46:2 +1O","MGDG","IP_DAG","Orbi_1231",199374.086678118,"+NP","negative"
"9779",1009.74794468187,1061.96,"PG 52:4 +1O","PG","IP_DAG","Orbi_1231",1285578.41555133,"+NP","negative"
"9780",1011.76396356853,1080.62,"PG 52:3 +1O","PG","IP_DAG","Orbi_1231",483002.98692127,"+NP","negative"
"9781",1013.74290524584,1065.39,"PG 51:3 +2O","PG","IP_DAG","Orbi_1231",99255.0845600049,"+NP","negative"
"9782",1021.75599299008,1078.7,"MGDG 48:4 +1O","MGDG","IP_DAG","Orbi_1231",334647.598383185,"+NP","negative"
"9783",1025.78796414349,1133.405,"MGDG 48:2 +1O","MGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"9784",1051.80322548376,1133.1,"MGDG 50:3 +1O","MGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"9785",1119.79057710253,1065.39,"PDPT 51:2 +3O","PDPT","IP_DAG","Orbi_1231",56493.8488634164,"+NP","negative"
"9786",327.232804247551,463.265,"FFA 22:6","FFA","FFA","Orbi_1231",915771250.456402,"+NP","negative"
"9787",759.458907843513,464.7295,"PA 40:8 +1O","PA","IP_DAG","Orbi_1231",669197.735210165,"+NP","negative"
"9788",265.217496378479,456.508,"FFA 17:2","FFA","FFA","Orbi_1231",3502397.44657533,"+NP","negative"
"9789",581.385357104788,472.379,"DAG 33:8 +1O","DAG","IP_DAG","Orbi_1231",89599.3477941145,"+NP","negative"
"9790",275.201713981629,413.041,"FFA 18:4","FFA","FFA","Orbi_1231",87443710.5042605,"+NP","negative"
"9791",225.185652269694,410.081,"FFA 14:1","FFA","FFA","Orbi_1231",7067441.92547261,"+NP","negative"
"9792",251.201563937006,424.85,"FFA 16:2","FFA","FFA","Orbi_1231",95962885.2388102,"+NP","negative"
"9793",271.228102901503,398.286,"FFA 16:0 +1O","FFA","FFA","Orbi_1231",3426552.49367205,"+NP","negative"
"9794",365.269804746418,386.6365,"FFA 22:3 +2O","FFA","FFA","Orbi_1231",887290.542158154,"+NP","negative"
"9795",249.185916011368,386.3745,"FFA 16:3","FFA","FFA","Orbi_1231",30656622.3414606,"+NP","negative"
"9796",405.285877212471,400.946,"MAG 18:0 +3O","MAG","IP_MAG","Orbi_1231",2240676.01932819,"+NP","negative"
"9797",817.474696143067,395.8235,"MGDG 34:8 +1O","MGDG","IP_DAG","Orbi_1231",400117.789407454,"+NP","negative"
"9798",303.233141966942,477.337,"FFA 20:4","FFA","FFA","Orbi_1231",42425519.3675145,"+NP","negative"
"9799",583.494876749589,477.5955,"DAG 32:0 +1O","DAG","IP_DAG","Orbi_1231",62809.7289253265,"+NP","negative"
"9800",637.388115140281,477.622,"PA 32:5","PA","IP_DAG","Orbi_1231",0,"+NP","negative"
"9801",243.196525758494,279.143,"FFA 14:0 +1O","FFA","FFA","Orbi_1231",270528.356554265,"+NP","negative"
"9802",381.228489359417,252.348,"MAG 18:4 +2O","MAG","IP_MAG","Orbi_1231",814789.728111804,"+NP","negative"
"9803",661.469568180653,540.782,"DAG 36:5 +3O","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"9804",939.534073626465,543.7635,"DGDG 32:6","DGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"9805",887.515765692209,546.626,"MGDG 38:9 +2O","MGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"9806",927.505436720489,955.2825,"PDPT 38:7 +3O","PDPT","IP_DAG","Orbi_1231",7073524.69791355,"+NP","negative"
"9807",842.571116068632,955.3855,"PE 44:8","PE","IP_DAG","Orbi_1231",534281.707797311,"+NP","negative"
"9808",395.243832163786,233.486,"FFA 22:4 +4O","FFA","FFA","Orbi_1231",0,"+NP","negative"
"9809",277.217368431109,448.2815,"FFA 18:3","FFA","FFA","Orbi_1231",40060485.178728,"+NP","negative"
"9810",700.443693482868,453.011,"DGTS_DGTA 28:7","DGTS_DGTA","IP_DAG","Orbi_1231",167728.756251643,"+NP","negative"
"9811",741.425873145377,452.1095,"S_DGCC 27:4 +1O","S_DGCC","IP_DAG","Orbi_1231",0,"+NP","negative"
"9812",963.678191530653,1020.935,"MGDG 44:5 +1O","MGDG","IP_DAG","Orbi_1231",4177929.217225,"+NP","negative"
"9813",1045.68166277654,1020.48,"MGDG 48:8 +3O","MGDG","IP_DAG","Orbi_1231",1318009.94260538,"+NP","negative"
"9814",696.614940638718,1019,"hapCER(d18:1/22:0(OH))","hapCER(d18:1/22:0(OH))","hapCER","Orbi_1231",196915.434183995,"+NP","negative"
"9815",718.539643286961,996.165,"PE 34:0","PE","IP_DAG","Orbi_1231",107920.023384434,"+NP","negative"
"9816",737.594211278949,1014.495,"DAG 41:2 +3O","DAG","IP_DAG","Orbi_1231",1004676.75804219,"+NP","negative"
"9817",743.583435290313,1011.645,"DAG 43:5 +2O","DAG","IP_DAG","Orbi_1231",1681030.22318867,"+NP","negative"
"9818",744.555436207365,1009.22,"PE 36:1","PE","IP_DAG","Orbi_1231",598341.99921344,"+NP","negative"
"9819",756.555534451311,992.8025,"PE 37:2","PE","IP_DAG","Orbi_1231",78364.9988464726,"+NP","negative"
"9820",797.630401798977,999.156,"DAG 47:6 +2O","DAG","IP_DAG","Orbi_1231",374622.276621044,"+NP","negative"
"9821",815.604480018485,1003.3,"DAG 46:6 +4O","DAG","IP_DAG","Orbi_1231",515964.40391983,"+NP","negative"
"9822",824.663022177939,1021.34,"DGTS_DGTA 36:1","DGTS_DGTA","IP_DAG","Orbi_1231",162389.618603625,"+NP","negative"
"9823",827.604758096311,1004.03,"DAG 47:7 +4O","DAG","IP_DAG","Orbi_1231",227346.782798884,"+NP","negative"
"9824",843.619134525634,1010.53,"MGDG 36:1","MGDG","IP_DAG","Orbi_1231",171343.089636532,"+NP","negative"
"9825",843.635922809203,1026.445,"DAG 48:6 +4O","DAG","IP_DAG","Orbi_1231",116401.800242515,"+NP","negative"
"9826",927.660710880954,1002.95,"S_DGCC 40:2 +1O","S_DGCC","IP_DAG","Orbi_1231",1180432.75960528,"+NP","negative"
"9827",948.653278897939,1004.785,"PC 40:2 +3O","PC","IP_DAG","Orbi_1231",2618441.96828804,"+NP","negative"
"9828",955.691654380113,1024.4,"S_DGCC 42:2 +1O","S_DGCC","IP_DAG","Orbi_1231",1336473.35938278,"+NP","negative"
"9829",991.668795259882,993.1425,"PDPT 43:2 +2O","PDPT","IP_DAG","Orbi_1231",0,"+NP","negative"
"9830",997.712074763047,1018.49,"PG 50:4 +2O","PG","IP_DAG","Orbi_1231",205773.292717214,"+NP","negative"
"9831",856.509392565885,897.6365,"DNPPE","DNPPE","DNPPE","Orbi_1231",157791268.168101,"+NP","negative"
"9832",671.489647708239,896.258,"DAG 38:6 +2O","DAG","IP_DAG","Orbi_1231",574038.021011066,"+NP","negative"
"9833",941.486878053641,897.227,"PDPT 38:8 +4O","PDPT","IP_DAG","Orbi_1231",714546.761948561,"+NP","negative"
"9834",808.492630863135,757.715,"PE 42:11","PE","IP_DAG","Orbi_1231",2894838.24627648,"+NP","negative"
"9835",910.560743452738,745.6575,"PC 42:11","PC","IP_DAG","Orbi_1231",11913833.2628493,"+NP","negative"
"9836",817.485487514637,754.605,"PG 36:4 +3O","PG","IP_DAG","Orbi_1231",0,"+NP","negative"
"9837",575.415234982899,757.101,"DAG 28:0 +4O","DAG","IP_DAG","Orbi_1231",319586.690254018,"+NP","negative"
"9838",597.452490262818,742.708,"DAG 35:6","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"9839",605.478646983183,730.605,"DAG 34:3 +1O","DAG","IP_DAG","Orbi_1231",1017454.03748015,"+NP","negative"
"9840",595.436380208917,742.683,"DAG 35:7","DAG","IP_DAG","Orbi_1231",205484.882475862,"+NP","negative"
"9841",671.467368422818,742.589,"PA 34:2","PA","IP_DAG","Orbi_1231",255743.187676115,"+NP","negative"
"9842",682.445568465063,743.5785,"PE 32:4","PE","IP_DAG","Orbi_1231",640776.667319459,"+NP","negative"
"9843",734.521605930714,736.443,"DGTS_DGTA 30:4","DGTS_DGTA","IP_DAG","Orbi_1231",0,"+NP","negative"
"9844",737.426096678929,755.8615,"PG 30:2 +3O","PG","IP_DAG","Orbi_1231",234679.769805421,"+NP","negative"
"9845",772.490573896168,751.639,"PE 39:8","PE","IP_DAG","Orbi_1231",261756.718662596,"+NP","negative"
"9846",782.476844528529,727.169,"PE 40:10","PE","IP_DAG","Orbi_1231",1609683.88558473,"+NP","negative"
"9847",855.503054819263,739.548,"PG 39:6 +3O","PG","IP_DAG","Orbi_1231",3755449.58754503,"+NP","negative"
"9848",862.584000435657,737.4135,"DGTS_DGTA 40:10","DGTS_DGTA","IP_DAG","Orbi_1231",400788.122298059,"+NP","negative"
"9849",936.576638044902,776.021,"PC 44:12","PC","IP_DAG","Orbi_1231",4138833.36784074,"+NP","negative"
"9850",411.384397568601,775.778,"FFA 26:0 +1O","FFA","FFA","Orbi_1231",312708.737055723,"+NP","negative"
"9851",708.461368177383,772.8695,"PE 34:5","PE","IP_DAG","Orbi_1231",3693704.36047093,"+NP","negative"
"9852",677.476377458417,769.749,"PA 33:0 +1O","PA","IP_DAG","Orbi_1231",978538.529640715,"+NP","negative"
"9853",696.461722005376,775.778,"PE 33:4","PE","IP_DAG","Orbi_1231",89373.4930147183,"+NP","negative"
"9854",703.492297043104,785.157,"PA 35:1 +1O","PA","IP_DAG","Orbi_1231",415332.135957612,"+NP","negative"
"9855",497.421093939263,763.792,"DAG 27:0","DAG","IP_DAG","Orbi_1231",1117526.42327516,"+NP","negative"
"9856",325.31119193696,760.816,"FFA 21:0","FFA","FFA","Orbi_1231",894081.699935472,"+NP","negative"
"9857",720.461291771021,769.3865,"PE 35:6","PE","IP_DAG","Orbi_1231",110120.881785173,"+NP","negative"
"9858",736.537411477165,765.981,"DGTS_DGTA 30:3","DGTS_DGTA","IP_DAG","Orbi_1231",0,"+NP","negative"
"9859",780.518845273332,794.709,"PE 38:5 +1O","PE","IP_DAG","Orbi_1231",907497.455464129,"+NP","negative"
"9860",807.503170558299,788.204,"PG 35:2 +3O","PG","IP_DAG","Orbi_1231",761082.302271176,"+NP","negative"
"9861",816.480318417633,787.9885,"PE 40:9 +2O","PE","IP_DAG","Orbi_1231",404359.084153647,"+NP","negative"
"9862",834.508333350409,787.773,"PE 44:12","PE","IP_DAG","Orbi_1231",2026199.57087516,"+NP","negative"
"9863",837.548293634052,791.237,"PG 37:1 +3O","PG","IP_DAG","Orbi_1231",2430180.36257818,"+NP","negative"
"9864",869.518944742117,779.7185,"PG 40:6 +3O","PG","IP_DAG","Orbi_1231",306243.660783981,"+NP","negative"
"9865",888.599989032499,767.063,"DGTS_DGTA 42:11","DGTS_DGTA","IP_DAG","Orbi_1231",181250.345153006,"+NP","negative"
"9866",895.563986786678,791.043,"DGDG 28:0","DGDG","IP_DAG","Orbi_1231",89229.0536765955,"+NP","negative"
"9867",907.534435062993,772.1535,"PG 43:8 +3O","PG","IP_DAG","Orbi_1231",218548.679268123,"+NP","negative"
