"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"10959",869.5616632,928.3805,"MGDG 36:4 +2O","MGDG","IP_DAG","Orbi_1233",215841.873859415,"+NP","negative"
"10960",879.5646695,934.1695,"S_DGCC 37:5 +1O","S_DGCC","IP_DAG","Orbi_1233",210325.383571852,"+NP","negative"
"10961",393.3740437,905.736,"FFA 26:1","FFA","FFA","Orbi_1233",1184647.22145219,"+NP","negative"
"10962",824.580942,891.079,"PE 41:4 +1O","PE","IP_DAG","Orbi_1233",568860.118408571,"+NP","negative"
"10963",842.6155555,890.6745,"DGTS_DGTA 38:6","DGTS_DGTA","IP_DAG","Orbi_1233",288766.470857587,"+NP","negative"
"10964",726.4149238,501.564,"PE 36:10","PE","IP_DAG","Orbi_1233",0,"+NP","negative"
"10965",885.4992462,501.917,"MGDG 38:10 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10966",1077.674131,508.0295,"DGDG 42:7","DGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10967",1123.737878,507.841,"DGDG 41:1 +3O","DGDG","IP_DAG","Orbi_1233",23692896.6785456,"+NP","negative"
"10968",253.2173412,506.713,"FFA 16:1","FFA","FFA","Orbi_1233",2537791.2118409,"+NP","negative"
"10969",267.2332739,505.4245,"FFA 17:1","FFA","FFA","Orbi_1233",2581436.56580986,"+NP","negative"
"10970",461.3489469,504.689,"MAG 22:0 +3O","MAG","IP_MAG","Orbi_1233",0,"+NP","negative"
"10971",505.3540022,501.917,"DAG 27:4 +1O","DAG","IP_DAG","Orbi_1233",10997.1124818154,"+NP","negative"
"10972",609.5102165,483.475,"DAG 34:1 +1O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10973",419.3019644,482.0205,"MAG 19:0 +3O","MAG","IP_MAG","Orbi_1233",0,"+NP","negative"
"10974",641.421898,505.189,"Dd_Ddc","Dd_Ddc","pigment","Orbi_1233",7201.63597455516,"+NP","negative"
"10975",652.3991354,502.693,"PE 30:5","PE","IP_DAG","Orbi_1233",0,"+NP","negative"
"10976",659.4534617,492.5125,"DAG 36:6 +3O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10977",785.4695617,493.0375,"MGDG 30:4 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10978",821.4834159,507.8175,"PG 35:3 +4O","PG","IP_DAG","Orbi_1233",189174.118179984,"+NP","negative"
"10979",859.4858864,483.5,"MGDG 36:9 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10980",617.4426979,495.637,"DAG 34:5 +2O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10981",811.4862653,506.471,"MGDG 32:5 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10982",453.3016578,513.949,"UQ4:4","UQ4:4","ubiquinone","Orbi_1233",0,"+NP","negative"
"10983",305.249011,510.7925,"FFA 20:3","FFA","FFA","Orbi_1233",1410501.76041973,"+NP","negative"
"10984",789.4732911,626.14,"PDPT 31:3","PDPT","IP_DAG","Orbi_1233",0,"+NP","negative"
"10985",835.4855089,626.0825,"MGDG 34:7 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10986",901.4893188,627.5155,"PDPT 36:6 +3O","PDPT","IP_DAG","Orbi_1233",14954.410848382,"+NP","negative"
"10987",639.4643197,632.688,"DAG 37:7 +1O","DAG","IP_DAG","Orbi_1233",8505.10632906186,"+NP","negative"
"10988",663.4260691,628.005,"DAG 38:10 +2O","DAG","IP_DAG","Orbi_1233",38636.0419276236,"+NP","negative"
"10989",709.4692601,630.511,"DAG 40:9 +3O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10990",739.4575873,630.525,"PDPT 27:0","PDPT","IP_DAG","Orbi_1233",94435.9327931075,"+NP","negative"
"10991",565.4484238,632.2095,"DAG 31:2 +1O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10992",671.4512176,642.6735,"DAG 37:7 +3O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10993",879.5262145,629.653,"MGDG 40:11","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10994",1087.695759,632.2095,"SQDG 49:4 +4O","SQDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10995",249.1131522,87.8381,"UQ1:1","UQ1:1","ubiquinone","Orbi_1233",44232.1372461515,"+NP","negative"
"10996",785.5423402,871.258,"MGDG 32:2","MGDG","IP_DAG","Orbi_1233",717527.708716156,"+NP","negative"
"10997",715.5157458,870.439,"DAG 40:6 +3O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10998",728.5685458,868.893,"DGTS_DGTA 29:0","DGTS_DGTA","IP_DAG","Orbi_1233",34852.6258860918,"+NP","negative"
"10999",724.4927453,871.924,"PE 35:4","PE","IP_DAG","Orbi_1233",10402.0133542197,"+NP","negative"
