"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1229","Orbi_1230","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1235","Orbi_1236","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"3422",677.497422105568,677.454951399696,677.525621011251,756.783,695.365,813.994,27,8,963739.583318449,870924.307040364,357032.595865072,239822.47603125,144004.679227783,931341.33434437,272286.506414062,478345.6703375,3837,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3423",677.495057111914,677.454953715024,677.53183454658,864.6675,844.825,905.538,16,8,20582811.8049469,2096102.89183675,8495793.12781085,1961018.53425391,3883424.27513477,13229180.8908703,10323591.0901372,8417499.89573438,3838,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3424",677.489257346439,677.459445927687,677.537024757307,658.2735,604.369,681.15,12,6,6878166.094804,774671.618932421,625986.707264483,1956372.91970581,27802.3676850826,268681.614825195,1050882.66031199,10238236.3377266,3839,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3425",677.531477461337,677.512288338055,677.53381971996,950.71,944.633,1019.01,13,7,10927436.3910277,1880976.71483887,1376546.17696484,1597782.29210852,559463.382685548,3091911.63184814,2911398.14472082,2278122.02758011,3840,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3426",677.461460838298,677.429388006582,677.510611159071,477.633,390.82,542.695,16,6,726925.298278846,0,928159.216104166,593402.450537946,0,1236166.60749219,109522.662001758,1145964.7675582,3841,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3427",677.598079414818,677.567720178158,677.664291904604,968.7,923.844,1098.73,21,8,967049.05447578,353272.999783203,1086283.06373439,1219819.02615661,1560912.25909411,333956.921395314,645560.614607667,1066172.2484292,3842,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3428",678.501629544757,678.412513856394,678.530666923233,729.9815,655.113,762.424,20,6,1259463.75254516,1467138.90395247,300057.456448898,331365.773594183,65414.9914399646,2953435.75059895,458665.33859028,1411725.00297309,3844,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3429",678.543541770765,678.457596411361,678.601960858035,925.646,860.42,1004.57,39,8,23306559.8825451,1938673.92334924,250829.573713672,456820.104085694,540681.69457202,1502318.52253184,7579306.25887911,1317143.02303345,3847,"[368][M]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3430",679.014045253819,678.996515817609,679.014379850541,1663.57,1618.14,1710.67,15,8,56695811.8539384,55990199.052656,59979650.9809373,60474897.7973434,58895292.5095315,50920421.7742591,65149395.4412281,59014061.8649998,3851,"[371][M]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3431",679.014190397559,679.014048875147,679.014224557732,1551.545,1480.4,1591.83,10,4,5793040.95042737,6239408.303497,4590848.99325522,4044071.64160713,5443557.71429634,6422079.77988281,5136645.07125,3518796.36796873,3852,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
